PRECINCT,REG17,BALLOTS17,CRANLEY,SIMPSON,TOTMAY,P_CRANLEY,P_SIMPSON,P_HVAP,P_WVAP,P_BVAP,P_AMINVAP,P_ASIANVAP,P_NHPIVAP,P_OTHERVAP,P_2MOREVAP,P_HCVAP,P_BCVAP,P_WCVAP
0111 CIN 1-K,1132,336,230,93,323,0.712074303,0.287925697,0.025482625,0.811583012,0.114285714,0.003861004,0.024710425,0,0.005405405,0.014671815,0.015742649,0.110283806,0.86103409
0112 CIN 1-L,658,294,225,53,278,0.809352518,0.190647482,0.025848142,0.906300485,0.027463651,0.001615509,0.025848142,0,0,0.012924071,0.026407857,0.078401692,0.842492149
0113 CIN 1-M,1009,435,347,73,420,0.826190476,0.173809524,0.021298174,0.942190669,0.017241379,0,0.014198783,0,0,0.005070994,0.012096774,0.008064516,0.967741935
0201 CIN 2-A,1205,402,209,184,393,0.531806616,0.468193384,0.02250225,0.468946895,0.458145815,0.00180018,0.03330333,0,0.00090009,0.01440144,0.021303038,0.402911458,0.536222718
0202 CIN 2-B,1501,503,240,252,492,0.487804878,0.512195122,0.01208981,0.102763385,0.858376511,0.001727116,0.002590674,0,0.003454231,0.018998273,0.003274255,0.552567556,0.427013377
0203 CIN 2-C,1762,364,206,144,350,0.588571429,0.411428571,0.045957918,0.682724252,0.212070875,0.00166113,0.03875969,0,0.00110742,0.017718715,0.036125737,0.153111179,0.771356761
0204 CIN 2-D,1346,460,229,217,446,0.513452915,0.486547085,0.008191126,0.596587031,0.361774744,0.002047782,0.006143345,0,0.000682594,0.024573379,0.003393767,0.310360745,0.636953778
0205 CIN 2-E,1113,429,305,104,409,0.745721271,0.254278729,0.018650089,0.837477798,0.102131439,0.001776199,0.027531083,0,0,0.012433393,0.022801303,0.09771987,0.843648208
0206 CIN 2-F,1321,403,136,259,395,0.344303797,0.655696203,0.009302326,0.265116279,0.693023256,0.00620155,0.007751938,0,0.003100775,0.015503876,0.029224281,0.48342994,0.462519645
0207 CIN 2-G,870,442,366,67,433,0.845265589,0.154734411,0.031209363,0.928478544,0.013003901,0.00130039,0.019505852,0.00130039,0,0.00520156,0.025316456,0.037974684,0.911392405
0208 CIN 2-H,952,236,102,129,231,0.441558442,0.558441558,0.0249501,0.522954092,0.382235529,0.002994012,0.046906188,0,0.000998004,0.018962076,0.003501002,0.301118095,0.618072671
0209 CIN 2-I,1148,412,205,196,401,0.511221945,0.488778055,0.009548611,0.527777778,0.432291667,0.001736111,0.004340278,0.001736111,0.002604167,0.019965278,0.011935568,0.370057528,0.592461244
0210 CIN 2-J,1288,401,274,114,388,0.706185567,0.293814433,0.013593883,0.907391674,0.049277825,0.000849618,0.018691589,0,0,0.010195412,0.016112279,0.082887126,0.859346534
0211 CIN 2-K,1479,511,327,172,499,0.655310621,0.344689379,0.032432432,0.815540541,0.089864865,0.002702703,0.043918919,0,0.001351351,0.014189189,0.015520728,0.217945993,0.735039439
0301 CIN 3-A,1194,327,84,237,321,0.261682243,0.738317757,0.033980583,0.033171521,0.904530744,0.001618123,0.000809061,0,0,0.025889968,0.002314883,0.862483071,0.115443387
0302 CIN 3-B,903,357,198,146,344,0.575581395,0.424418605,0.01378579,0.597030753,0.366914104,0,0.016967126,0,0,0.005302227,0.034744585,0.472059326,0.478327746
0303 CIN 3-C,1132,463,270,180,450,0.6,0.4,0.026070764,0.568901304,0.376163873,0,0.018621974,0,0,0.010242086,0.010963132,0.312306947,0.633416467
0304 CIN 3-D,1640,352,77,260,337,0.228486647,0.771513353,0.006527415,0.09073107,0.880548303,0.003263708,0.000652742,0,0.000652742,0.017624021,0.005876068,0.839583618,0.151933979
0305 CIN 3-E,1435,380,94,275,369,0.254742547,0.745257453,0.009781791,0.060948081,0.913468774,0.001504891,0,0,0.001504891,0.012791573,0.004708104,0.875712863,0.108930328
0401 CIN 4-A,940,460,292,157,449,0.650334076,0.349665924,0.005847953,0.874853801,0.083040936,0,0.021052632,0,0.001169591,0.014035088,0.051022925,0.074402192,0.844440872
0402 CIN 4-B,1036,453,342,98,440,0.777272727,0.222727273,0.037267081,0.907867495,0.014492754,0.001035197,0.025879917,0,0.002070393,0.011387164,0.008881139,0.033176818,0.939175835
0403 CIN 4-C,827,303,202,94,296,0.682432432,0.317567568,0.021118012,0.865838509,0.054658385,0.001242236,0.039751553,0,0.003726708,0.013664596,0.113260399,0.056630199,0.787636753
0404 CIN 4-D,1228,505,350,149,499,0.701402806,0.298597194,0.02248996,0.894779116,0.044176707,0.003212851,0.025702811,0,0.001606426,0.008032129,0.016565674,0.00787199,0.933253113
0405 CIN 4-E,1129,436,304,125,429,0.708624709,0.291375291,0.017132552,0.908926961,0.020739405,0.000901713,0.03336339,0.000901713,0.001803427,0.016230839,0.010317952,0.008608014,0.969505125
0406 CIN 4-F,1002,402,284,103,387,0.733850129,0.266149871,0.02268431,0.925330813,0.017013233,0.003780718,0.024574669,0,0,0.006616257,0.018570071,0.045562129,0.925581753
0407 CIN 4-G,1231,573,474,87,561,0.844919786,0.155080214,0.019451813,0.929266136,0.018567639,0,0.021220159,0.000884173,0.00265252,0.00795756,0.013777204,0.030771738,0.941970351
0408 CIN 4-H,1467,446,290,148,438,0.662100457,0.337899543,0.025252525,0.894570707,0.034090909,0.003156566,0.028409091,0,0.002525253,0.011994949,0.015726227,0.082113591,0.874577013
